ID,Edad,Sexo,NED,NumBancos,NumFinanc,TDSR,C6M,AumDeu,PI,Cont,Vigen,Ingreso,Default
16380,39,F,TT,1,1,52.72,2B,0.0324,1,48240,547777.7266,254333.2647,B
16381,25,F,TT,0,0,254.68,2B,0.1501,0,379034,204532.588,78643.99101,M
16382,63,M,ST,1,2,37.19,4,-0.033,0,30740,567003.9508,127761.1482,M
16383,33,M,ST,2,1,140.1,1A,0.0585,0,98708,1527294.065,35019.35857,M
16384,36,M,TNT,0,0,789.62,2B,-0.025,0,157708,82315.23273,55356.87778,M
16385,38,M,ST,0,0,351.25,2A,0.1462,0,165302,426450.0013,46874.45044,M
16386,33,F,ST,2,1,86.51,1C,0.0908,1,197514,155065.2325,25574.49331,B
16387,31,M,ST,0,3,36.37,2A,0.2508,0,104563,379249.5591,26422.39095,M
16388,40,M,TNT,1,1,9.48,1C,0.0504,1,42816,53208.71551,30799.54397,B
16389,44,M,ST,2,0,21.6,1C,0.2178,0,80537,244473.8335,46413.15952,B
16390,51,M,ST,3,3,11.37,1C,-0.032,0,119777,90758.38158,37673.18151,B
16391,38,F,ST,1,1,3.04,2A,0.0374,0,76301,35956.16249,145582.9915,B
16392,52,F,TNT,2,3,51.86,1C,0.1659,0,157608,193272.8722,381290.755,B
16393,39,M,TNT,4,2,5.39,4,0.1087,0,391475,420083.0342,33000.73252,M
16394,43,M,PNT,0,2,4.63,1C,-0.157,0,240865,74735.49789,26453.30674,M
16395,47,F,TNT,2,3,6.84,1C,-0.0373,0,134855,116285.41,71561.68961,B
16396,30,F,PT,0,3,8.89,5,0.0352,0,169836,164378.9873,23432.46025,M
16397,35,M,TNT,2,2,17.82,2A,0.3011,0,115238,320321.2649,57338.56606,M
16398,52,M,PNT,2,2,18.5,1C,0.0847,0,361154,722468.7309,25000.02009,B
16399,50,F,TT,0,0,31.62,1C,0.1708,0,194528,162779.518,118149.703,B
16400,38,M,SNT,2,2,21.37,1C,0.0204,0,233165,75503.90407,27935.28221,M
16401,55,M,TT,3,2,36.66,1C,0.0459,0,134357,39603.49148,170755.0581,B
16402,46,F,TNT,2,0,11.86,2A,0.0693,0,48349,266416.2785,58861.38831,B
16403,39,F,ST,1,0,13.47,1C,0.2524,0,122327,26467.83477,80229.13928,B
16404,30,M,TNT,1,1,33.17,3,-0.1547,0,38992,42059.3248,81989.23858,M
16405,42,M,TT,3,3,59.27,1C,0.2035,0,280655,129465.1577,76628.46211,B
16406,47,M,ST,0,1,55.71,1C,0.1296,0,196761,258496.9947,67411.70664,B
16407,47,M,TT,0,3,19.9,1C,0.1959,0,284679,216040.9837,130252.4104,B
16408,33,F,TT,0,0,25.48,3,-0.0124,0,274718,559960.8696,72458.60233,B
16409,54,M,TNT,2,1,113.67,5,0.0238,1,324880,296744.1645,241954.1432,B
16410,22,F,TNT,2,2,36.24,2B,0.0055,0,107584,254109.0032,41435.41299,M
16411,48,M,TNT,2,0,58.51,1C,0.0978,0,115394,123100.8792,74265.05071,B
16412,60,M,TNT,2,1,35.22,4,0.1058,0,382545,378295.1172,81315.79421,M
16413,45,F,TNT,2,0,25.41,4,0.1938,0,323010,174337.0024,64570.31379,M
16414,58,M,SNT,3,2,6.33,1C,0.1244,0,75604,510919.9033,90700.64448,B
16415,26,M,ST,2,3,50.28,1C,-0.1418,0,569305,693165.4874,52709.2945,M
16416,36,M,SNT,1,2,29.13,2A,0.2388,0,59849,513843.4733,44366.73472,M
16417,29,M,TNT,2,2,7.54,1A,-0.0656,1,180179,23582.38747,26364.90647,B
16418,43,M,TNT,2,0,48.71,3,-0.0766,0,190818,291892.6173,48591.85551,B
16419,41,M,TNT,2,2,85.31,1C,0.1352,0,49181,448760.7205,65920.01827,B
16420,57,M,SNT,3,1,98.99,1C,0.0592,0,13055,687352.3391,43142.17754,B
16421,35,M,TNT,1,3,118.96,2B,-0.044,1,67155,286032.4187,45032.05123,M
16422,26,M,ST,3,2,27.82,3,0.1028,0,295465,178651.3185,25672.75402,M
16423,45,M,TNT,1,3,43.26,1C,0.0103,0,43626,473622.7223,43129.99699,B
16424,44,F,ST,0,3,4.7,1C,0.1157,0,541719,1501781.844,50953.99709,M
16425,49,M,ST,0,0,75.86,2B,-0.0932,1,347258,744006.292,44788.61316,B
16426,32,F,ST,3,2,14.31,1C,0.0932,1,154324,160831.7682,86085.71043,B
16427,31,M,TNT,1,1,14.88,4,-0.1159,1,124816,393548.6196,58345.10009,B
16428,29,M,SNT,2,0,11.66,1C,0.1315,0,44452,243349.8344,21219.95667,B
16429,51,F,TT,3,0,31.48,1C,0.0272,0,161067,1240270.737,84119.66463,B
16430,35,F,ST,2,1,8.05,1A,0.1074,0,326068,1249351.06,53189.78007,B
16431,31,F,TNT,0,0,20.28,1C,0.0073,0,201001,110195.7929,51444.79824,B
16432,38,F,SNT,2,2,3.46,1C,-0.0127,0,38566,523300.2286,31548.78347,B
16433,43,M,TT,2,2,34.24,5,0.0458,0,381537,127128.2285,98325.19175,B
16434,41,M,TT,0,0,33.4,2A,0.1723,0,71281,62120.58841,98221.09885,B
16435,52,M,TT,2,0,15.78,1C,0.0485,0,1153046,1084324.229,120297.4479,B
16436,42,M,PNT,2,2,21.21,3,0.262,1,48296,159217.2569,31564.83424,B
16437,54,M,TNT,2,0,28.79,1C,0.1003,0,258761,746372.4477,121807.5992,B
16438,43,M,ST,2,0,58.51,1C,0.0682,0,56934,192910.6063,50284.32219,B
16439,59,M,TNT,2,2,28.93,1C,-0.0355,0,868518,169053.7533,141163.105,B
16440,41,M,TNT,2,0,2.32,1A,0.2107,0,224994,306404.3522,73278.33924,B
16441,51,M,TNT,3,2,19.58,5,0.1183,1,122621,14596.14147,90753.10322,B
16442,58,M,PT,2,1,24.02,1C,0.0432,0,52778,36800.91937,76285.84127,B
16443,57,M,PT,0,0,17.67,1C,0.2303,0,145305,399412.8298,64151.26769,B
16444,42,F,ST,2,2,11.93,3,0.1611,0,338298,180323.2213,49300.32137,M
16445,31,F,TT,4,0,17.93,3,-0.0316,1,122732,97311.93314,43564.52471,B
16446,35,F,TNT,3,3,20.88,2A,0.0756,0,214416,118090.5672,48461.58193,M
16447,42,M,ST,3,0,45.5,2B,0.0018,0,263276,190679.399,53126.54208,B
16448,28,M,TNT,2,0,6.75,1C,-0.0402,0,43314,162829.1049,52459.22254,B
16449,26,M,SNT,2,2,144.84,5,0.1751,0,35900,550997.5508,20590.99084,M
16450,38,M,ST,2,0,36.77,1C,0.1107,0,247609,219221.1424,26515.6096,M
16451,34,F,TNT,0,3,26.36,1C,-0.0248,1,108815,287100.2562,39841.07175,B
16452,59,M,SNT,0,0,6.81,5,0.1802,0,93571,67609.34496,48969.72667,M
16453,50,M,TNT,2,3,7.14,1A,0.2626,1,103389,172968.4465,81672.36301,B
16454,32,F,PNT,1,0,3.04,5,0.1393,0,150088,780290.8418,17353.93419,M
16455,34,M,PT,1,0,16.48,2B,0.1627,0,50382,134457.3044,22313.13625,M
16456,52,M,ST,0,0,9.78,1C,0.1186,0,1104678,134411.6422,53995.53985,B
16457,47,M,SNT,3,0,58.95,4,0.0654,1,125167,475371.1153,38797.69283,M
16458,27,M,ST,1,0,5.8,1C,0.0049,0,216742,197905.5218,24884.15544,M
16459,41,M,TT,2,2,14.9,1C,-0.031,0,24987,393277.5426,96661.07906,B
16460,53,M,ST,2,0,4.22,1C,-0.0817,0,473548,402439.7276,158422.0312,B
16461,50,M,SNT,2,1,34.92,1C,0.0174,0,77291,98406.16232,63333.96659,B
16462,56,F,TNT,2,1,34.66,1A,0.0695,0,810427,180883.8496,202946.8275,B
16463,22,M,TT,0,1,6.77,1C,0.0362,0,115443,657635.6664,77521.18086,B
16464,43,M,TT,2,0,17.1,1C,-0.042,0,209263,448450.0155,142358.5884,B
16465,51,M,TNT,2,2,11.82,1C,0.0399,0,104661,819923.2723,121481.609,B
16466,53,M,ST,1,1,8.12,2A,0.1581,0,1081484,947390.8776,73813.53543,B
16467,48,M,TT,0,2,44.15,1C,0.165,1,92023,279952.1941,143884.0935,B
16468,43,M,ST,0,1,8.54,1C,0.2189,0,146826,295711.2255,52672.90258,M
16469,30,F,PT,1,0,3.2,5,0.1529,0,180433,26648.65448,19682.62387,M
16470,56,M,TNT,1,2,61.61,1C,-0.0649,0,186849,119426.0896,74842.99219,B
16471,44,F,TT,1,2,9.74,2A,0.0626,0,54737,311852.4536,93735.47568,B
16472,43,M,TT,3,3,14.89,1C,0.1322,0,515667,427614.1792,149108.1443,B
16473,31,M,SNT,2,0,38.47,2A,0.0941,0,121895,269668.4049,22340.62649,M
16474,46,F,TT,1,0,131.73,1C,0.1668,0,369920,1083525.387,394745.1201,B
16475,31,F,ST,2,2,27.08,1C,0.0675,0,121940,197256.5333,23285.63224,B
16476,40,M,SNT,3,2,9.97,1C,0.0782,0,25289,102355.2973,28002.92807,B
16477,39,M,TNT,2,1,42.53,1C,0.0686,0,349782,364291.6433,87510.56817,B
16478,34,M,PT,0,2,13.01,4,-0.125,0,101939,110708.0931,18964.82209,M
16479,40,F,TNT,1,0,1.33,2B,-0.0145,1,194912,69945.34833,155886.3163,B
16480,39,F,TT,0,0,2.58,1C,-0.0378,1,11655,236574.6847,167845.216,B
16481,49,M,SNT,0,1,9.19,2B,0.0146,0,32049,228508.1964,51186.10124,M
16482,29,M,TNT,2,0,6.82,1C,0.084,0,160253,65528.04709,81676.2747,B
16483,35,M,SNT,0,0,33.55,1C,0.1774,0,566037,206922.3919,32881.64649,M
16484,40,M,TNT,2,0,3.06,1C,-0.0135,0,782530,61627.36303,25243.55953,B
16485,48,F,PT,2,0,43.66,1C,-0.0434,0,321978,151947.7643,23426.45433,M
16486,28,M,PNT,2,0,26.3,5,0.18,0,33787,199885.3253,20577.91107,M
16487,42,M,SNT,2,1,177.87,5,0.0019,0,94359,453350.2783,29961.58518,M
16488,52,M,TNT,3,2,106.02,1C,0.0498,0,105972,313875.6748,84841.51562,B
16489,53,F,TT,3,1,6.76,1C,0.071,1,237050,23039.15125,107061.1545,B
16490,48,M,TNT,4,1,17.32,1C,-0.0789,1,137978,326112.7037,63328.82364,B
16491,56,F,TT,1,1,12.15,2B,-0.0566,1,152305,39057.86691,216601.7802,B
16492,39,M,TNT,1,0,8.63,1C,0.1649,1,108938,302912.8464,101410.5897,B
16493,61,M,SNT,2,1,17.61,4,-0.1627,0,153218,693946.037,64442.02049,M
16494,38,M,TNT,0,1,35.31,1C,-0.024,0,151456,19248.73271,42284.58118,M
16495,30,F,TNT,2,0,36.27,1C,0.01,0,181620,922420.9771,31511.52161,B
16496,62,F,TNT,1,2,2.95,5,0.0243,0,499890,478328.108,213316.176,B
16497,20,F,TT,0,1,44.21,3,-0.0812,0,303987,111905.5072,41788.05305,M
16498,27,F,ST,3,0,27.24,4,0.0563,0,11680,574132.3195,21299.90318,M
16499,32,M,SNT,0,2,115.54,4,-0.037,0,122714,83444.7068,30780.23565,M
16500,21,M,PT,1,2,9.73,1A,0.057,0,113221,48603.39405,18343.7717,B
16501,49,M,ST,2,2,28.76,1A,-0.0213,0,197033,189751.4684,45666.53566,B
16502,41,M,PNT,2,0,8.65,4,0.0995,0,71963,222174.1265,19753.02478,M
16503,43,F,ST,3,2,15.14,3,0.1541,0,327086,290296.7883,51504.27459,B
16504,52,F,TT,2,2,21.99,2B,0.0509,1,215825,197187.0565,138919.2427,B
16505,33,F,TT,0,0,71.31,1C,6.00E-04,0,247223,132662.0171,74055.00778,B
16506,41,M,ST,0,1,12.49,1C,0.157,0,66267,165751.1882,48523.81033,M
16507,47,M,TNT,2,0,3.96,2A,-0.0429,0,118104,341340.9884,114472.0325,B
16508,48,M,SNT,2,0,10.78,1C,0.1608,1,210313,93243.56913,32978.74923,B
16509,49,M,TT,0,2,8.74,5,0.0051,0,97288,115196.7366,210891.9879,M
16510,46,F,ST,0,0,5.27,1C,-0.0858,0,8327,729846.5776,47147.60896,B
16511,47,M,SNT,3,0,65.42,1C,0.0062,0,34761,24813.08009,37067.97342,B
16512,42,F,TT,2,0,8.95,5,0.0396,0,129533,134802.1159,108419.2217,B
16513,40,F,TNT,2,3,10.28,1C,-0.005,0,54555,538209.4828,62429.94621,B
16514,26,M,ST,2,1,13.65,2B,0.0675,0,81823,75291.83296,24042.67532,M
16515,55,M,ST,0,0,20.63,1A,0.02,1,95227,804523.0071,44968.15846,B
16516,57,M,TT,1,0,15.75,1C,-0.0983,0,106383,394980.2619,191303.6482,B
16517,57,M,TNT,2,3,56.5,1C,-0.0176,0,266555,614937.6472,112607.1638,B
16518,40,M,SNT,2,0,13.68,1C,-0.0837,0,116482,280609.1901,27802.56875,B
16519,46,F,TNT,2,0,17.35,1C,-0.0614,0,326716,110394.005,132461.9391,B
16520,58,M,ST,2,1,27.38,2A,0.0304,0,85273,146116.6773,103296.058,B
16521,37,M,ST,2,2,57.84,1A,0.0756,0,290868,396104.3848,62707.60593,B
16522,35,M,TT,1,0,42.12,1C,0.1109,0,129693,69341.61145,78693.54674,B
16523,40,F,TT,4,1,10.23,2A,0.011,0,222277,463029.5084,159807.6569,B
16524,38,M,TNT,0,2,28.22,1C,-0.0746,0,440674,160707.4648,43983.57527,M
16525,62,F,SNT,0,2,8.13,1C,0.1092,0,225602,1469127.448,115533.4162,B
16526,46,M,TNT,4,1,59.01,4,-0.0058,1,457198,420182.362,58302.46325,B
16527,51,M,PNT,2,0,70.48,2B,0.064,1,59558,563515.5518,24217.60947,B
16528,23,F,TT,2,1,32.38,1C,0.131,0,358367,967159.1485,57270.13048,B
16529,61,F,TNT,1,1,47.07,1C,-0.134,0,304380,61603.70466,174663.0171,B
16530,35,F,ST,2,0,6.89,4,0.1626,0,317307,129252.7131,34597.6522,M
16531,49,F,TT,0,0,65.85,2A,0.0693,0,672102,113684.0788,149300.1351,B
16532,45,M,TNT,0,0,26.12,1C,-0.066,1,30978,448142.1681,65709.26722,B
16533,40,M,ST,3,1,6.59,1C,0.0206,1,88859,343337.5176,57473.62466,B
16534,38,F,TT,4,0,18.88,1C,-0.0497,0,65392,84029.92123,114303.4427,B
16535,22,M,TT,1,2,9.23,1C,0.1036,0,124220,19954.00717,40086.52743,B
16536,51,M,SNT,1,2,4.48,1A,0.1008,0,825035,404805.5054,44947.81575,M
16537,36,M,TNT,2,0,152.47,5,-0.0302,0,115673,81777.08093,45032.81233,M
16538,37,M,TNT,0,0,7.64,2B,0.285,1,180725,77655.90724,65432.03244,B
16539,39,M,PT,0,3,7.77,1C,0.0089,0,985166,342014.0439,24765.46424,M
16540,51,M,TT,0,1,3.54,1C,0.0713,0,55341,34288.07763,138590.2057,B
16541,49,M,SNT,1,0,69.55,2A,0.1628,0,159445,104335.1989,40839.39491,M
16542,37,M,TNT,0,1,35.88,1C,0.1304,0,140584,77431.34866,90054.30116,B
16543,40,M,SNT,1,0,7.45,4,0.0572,1,233719,242797.811,36059.20574,M
16544,36,M,TT,2,0,18.43,1C,0.0301,1,154759,304410.4424,85035.60928,B
16545,49,F,TNT,2,1,50.18,2B,0.077,0,71256,362604.8139,91788.02215,B
16546,63,F,TNT,1,3,8.42,1C,-0.0937,0,579378,170939.2303,139647.9501,B
16547,32,M,PNT,2,2,3.26,1C,0.2054,0,149331,252620.1787,18650.94511,M
16548,40,M,ST,3,0,30.75,1C,0.1151,0,737805,317273.6208,34962.23362,B
16549,34,M,TT,3,1,10.77,1C,0.2558,0,164863,338838.5573,64058.33877,B
16550,44,M,TNT,4,0,10.59,2B,0.0963,0,163707,478428.3841,89895.74211,B
16551,38,M,ST,2,2,49.6,1C,0.04,0,589919,267438.6698,35701.79633,M
16552,56,M,TNT,2,0,20.34,1C,0.0194,0,893188,612129.3814,265909.3394,B
16553,58,M,ST,2,1,46.34,1C,-0.1465,0,420114,186320.7608,74680.4911,B
16554,25,M,ST,1,2,14.51,1C,0.035,0,53177,130497.004,25524.4148,M
16555,53,M,TT,1,1,52.68,1C,-0.0104,0,189232,17355.22369,213261.966,B
16556,32,M,PNT,2,3,87.21,4,0.0242,0,127067,84676.70451,24228.36152,M
16557,42,F,TNT,0,1,112.67,1A,0.1242,0,47771,176007.7738,52905.88731,M
16558,51,M,TNT,0,1,38.66,2B,0.0252,0,26839,202350.0158,82399.37379,M
16559,37,M,TNT,2,2,11.69,2B,7.00E-04,0,152064,319742.8451,71847.90758,B
16560,46,M,SNT,0,3,20.13,1C,0.0141,0,597118,658624.9891,33660.70106,M
16561,28,M,TT,2,3,74.81,3,-0.0355,0,178064,639955.0556,39722.64369,M
16562,42,F,ST,4,0,9.96,1C,0.0088,0,940046,212284.5157,92386.06605,B
16563,28,F,TT,1,2,159.63,2B,0.0574,0,24987,121337.1582,46347.21145,B
16564,30,M,PNT,2,1,46.07,1A,0.1112,0,225729,175839.821,19116.81725,M
16565,56,M,TNT,1,1,15.97,1C,-0.0353,0,125257,246255.0034,143147.8613,B
16566,38,M,TNT,1,1,7.65,1C,0.0999,1,117117,27678.61123,42272.8379,B
16567,34,M,ST,0,0,12.01,4,0.0697,0,444632,27697.54688,31945.52555,M
16568,30,M,TNT,2,2,21.88,3,0.1598,0,328148,311802.0407,51489.1622,M
16569,40,M,TT,2,1,10.31,1C,-0.156,0,324668,854218.8128,57517.59985,B
16570,43,M,TT,3,1,4.95,1C,-0.0151,0,357526,443644.7299,136251.9723,B
16571,29,F,SNT,0,0,4.33,4,0.0125,1,122416,208348.2924,23420.01122,M
16572,38,F,TNT,2,0,11.68,1C,0.051,0,159767,216075.5762,144522.3819,B
16573,39,M,ST,0,2,35.06,1A,-0.1055,1,221240,115303.5381,77620.33721,B
16574,58,M,ST,2,1,30.82,1C,0.2365,0,7406,497525.497,64009.18412,B
16575,31,M,TT,2,3,7.37,1C,0.183,1,411012,122215.5641,43675.64193,B
16576,57,M,TNT,0,3,11.06,1C,0.1374,0,122981,283057.4268,80628.06249,B
16577,32,F,SNT,2,2,57.71,2B,-0.0118,0,242827,233919.167,25220.04239,M
16578,53,M,TNT,4,1,40.51,3,0.1172,0,303530,162378.7437,131143.271,B
16579,58,M,ST,0,0,9.18,5,0.0759,0,71911,806606.1102,111294.7594,M
16580,45,M,TNT,2,2,110.95,1C,0.1639,0,88762,205341.6481,98503.38041,B
16581,48,M,ST,2,2,26.53,5,0.0751,0,16623,269920.3327,61133.55035,M
16582,49,M,TT,1,1,10.32,2B,0.0682,0,146223,70055.85658,108703.9397,B
16583,29,M,SNT,2,1,53.09,2A,-0.0373,0,45494,106386.0903,19309.16866,M
16584,60,M,ST,1,0,35.99,3,-0.0196,0,351104,510027.6357,82583.27261,B
16585,40,F,ST,3,2,15.2,1C,0.1533,1,17065,405534.365,34903.14596,B
16586,40,F,TNT,2,1,19.87,2B,0.0016,0,289942,460201.2153,65333.16861,B
16587,32,M,TNT,1,2,22.07,1C,-0.0538,1,262399,490347.477,120276.2914,B
16588,49,F,ST,3,2,4.33,1C,-0.1484,1,30946,151065.3848,65683.47895,B
16589,40,M,ST,0,2,11.32,3,0.0767,0,34453,87016.09395,51670.06861,M
16590,51,M,TT,2,0,73.49,1C,-0.014,1,189775,458016.3621,136439.8588,B
16591,37,F,TT,0,0,24.47,1C,0.1079,0,200548,151260.6183,74710.09358,B
16592,35,M,TT,1,0,13.46,1C,-0.03,0,16652,648898.0094,68349.14133,B
16593,45,M,ST,0,3,4.39,1C,-0.0374,0,60406,152545.1388,45345.91298,M
16594,47,F,ST,1,0,46.53,1C,0.2339,0,183259,315847.4724,53546.36553,B
16595,30,M,TNT,1,1,1.93,5,0.0217,0,53943,647450.9133,36749.67596,M
16596,21,M,SNT,4,1,8.55,1C,0.004,0,51868,690029.8638,19376.1135,B
16597,42,M,SNT,0,0,41.97,2B,0.1428,1,115289,511251.1504,19458.94083,B
16598,51,M,ST,0,2,12.34,1A,0.0018,0,149756,84619.38483,49773.6174,M
16599,38,F,TNT,1,1,55.99,1C,0.2399,0,680112,260096.2753,127253.6541,B
16600,54,F,ST,2,2,22.24,5,0.0922,0,512885,200335.4566,49873.66475,M
16601,35,M,ST,2,0,15.47,1C,0.0246,0,84019,206867.2251,33983.05687,B
16602,25,M,ST,3,0,21.35,1C,0.0567,0,189236,262679.5163,32730.10644,B
16603,53,M,ST,0,2,13.58,1C,0.1232,0,259520,341507.2415,84084.6538,B
16604,31,F,ST,2,1,12.84,1C,-0.0535,1,241839,121803.7507,35706.45916,B
16605,48,M,ST,0,1,9.56,1A,0.2556,1,84805,194617.5505,44009.4073,B
16606,23,M,SNT,4,2,5.54,5,-0.0929,0,31150,426169.2999,23293.00897,M
16607,30,M,PT,1,0,55.76,1C,0.0512,0,84293,155987.2699,21573.82223,M
16608,43,M,TT,2,1,6.77,4,0.1672,0,325667,236115.585,66858.1788,B
16609,26,M,ST,4,2,10.88,1C,0.1038,0,603627,315787.211,26663.25708,M
16610,39,F,ST,2,2,7.93,1C,0.0435,0,22299,45590.05012,41071.66552,B
16611,43,M,TT,3,2,41.7,1C,0.0754,0,240077,137797.6162,81435.69729,B
16612,58,F,TT,2,0,12.88,2A,0.1491,0,488763,775160.3576,103028.2564,B
16613,35,M,SNT,2,0,99.02,1A,0.0784,1,145561,1358576.3,27989.4936,B
16614,39,F,PT,3,2,1.2,1C,-0.2306,1,441837,224322.2352,18480.18323,B
16615,56,F,TNT,1,2,41.47,5,0.0957,0,222762,286484.5076,99144.07349,M
16616,40,M,ST,3,3,6.42,1C,-0.0859,0,69056,152728.9894,77750.17241,B
16617,48,M,SNT,3,0,10.93,1C,-0.0273,0,282989,183135.0049,43428.70085,B
16618,43,F,PT,2,3,4.3,1C,0.0478,0,303190,139247.4768,37927.89275,M
16619,37,M,TNT,2,0,32.03,3,-0.0428,1,354525,43718.08741,47208.27883,B
16620,43,M,TNT,2,1,23.33,2B,0.1981,0,51802,135292.8905,93211.44239,M
16621,48,M,PT,0,2,54.01,2B,-0.0299,0,86866,714298.1779,37610.13915,M
16622,48,F,TT,2,2,49.44,1A,0.2084,0,123343,414245.2482,106053.2994,B
16623,54,F,TT,2,2,31.72,1C,-0.1484,1,573399,48383.52154,437356.0023,B
16624,39,M,ST,3,2,17.29,5,0.0471,0,903005,276585.1886,56978.74017,M
16625,37,M,PNT,3,1,69.22,1C,-0.0146,0,263316,361919.5325,17888.63161,M
16626,48,M,ST,1,3,27.16,1C,-0.0189,0,193427,593506.0989,61289.25804,B
16627,32,F,PT,2,2,10.31,1C,0.1293,0,31230,185627.9322,24663.70884,M
16628,45,M,ST,3,0,105.21,3,0.003,1,254604,1062700.698,48898.54999,B
16629,40,M,TNT,0,2,38.86,1C,0.1879,0,126721,113403.603,75718.6273,M
16630,52,M,TT,2,0,111.11,1C,0.1037,0,48543,7141.706432,314170.8106,B
16631,45,M,ST,2,2,12.09,1A,-0.0346,0,116150,227830.7022,59882.93193,B
16632,31,M,TNT,0,1,29.97,1C,0.0474,0,227527,299512.0636,48458.64434,B
16633,34,M,ST,2,3,13.2,1C,-0.1358,0,353456,237311.1132,32167.25026,B
16634,47,F,ST,2,0,32.53,2B,-0.0932,0,59629,265838.0687,53582.14464,B
16635,31,M,TNT,1,0,17.12,1C,0.1069,0,184240,247412.7423,42263.16537,B
16636,61,M,PT,2,1,10.7,1C,0.2282,1,300433,374015.5841,29566.10019,B
16637,48,M,ST,4,1,49.86,1C,-0.17,0,605974,235931.3248,75306.19853,B
16638,40,F,TT,1,0,5.17,1C,0.0657,0,199585,331776.2081,122852.5516,B
16639,34,F,TT,2,0,51.93,5,0.0911,0,415911,131168.4318,52248.69938,M
16640,43,M,TNT,3,0,7.92,1C,0.0183,0,10011,165919.9622,55984.75231,B
16641,44,M,TT,2,3,5.66,1C,0.0256,0,100414,240703.3265,267000.5823,B
16642,42,M,PT,1,2,6.42,5,-6.00E-04,0,433123,411934.11,32582.17395,M
16643,30,F,TT,3,1,206.68,1C,0.0133,0,28865,292131.2805,42062.44664,B
16644,46,F,ST,1,0,32.07,1C,-0.0852,0,151507,363445.0331,69512.91398,B
16645,37,M,ST,2,3,31.04,1A,-0.0185,1,54420,60238.67325,34054.84704,B
16646,43,M,TT,2,2,24.12,1C,0.0657,0,247941,30233.23682,85740.66258,B
16647,37,M,TT,3,1,33,1A,-0.0014,0,98914,290645.8911,86967.48764,B
16648,39,M,PT,4,2,11.19,2B,0.1141,0,85291,115738.7498,22218.59214,M
16649,52,M,TT,1,1,2.83,3,0.0054,0,99896,106571.9889,223507.6691,B
16650,47,F,ST,1,0,15.15,1C,0.066,0,337469,583868.742,48854.87641,B
16651,31,F,TT,0,0,2.98,1C,0.0616,0,478046,310167.4604,62092.60977,B
16652,45,F,ST,3,2,14.2,1C,0.2219,0,154722,127592.3845,48589.49341,B
16653,42,M,TT,3,0,8.22,4,0.048,0,25571,169000.5725,124261.752,B
16654,43,M,ST,0,2,66.98,1C,0.0972,0,36449,68100.28825,43095.58081,M
16655,45,F,SNT,3,3,12.57,5,-0.003,0,275667,54738.94643,26558.00103,M
16656,31,M,ST,0,2,2.73,1C,-0.0486,0,10073,182593.4201,47018.77882,M
16657,47,M,TNT,2,0,24.21,1C,0.0457,0,379266,47925.56753,85269.47021,B
16658,39,M,TT,1,2,115.67,1C,0.1036,1,212904,119483.0095,70608.70881,B
16659,48,M,ST,0,0,22.49,4,0.0278,0,488288,236563.0836,31957.27026,M
16660,48,M,ST,1,0,4.71,1C,0.0856,0,223471,495308.2257,161656.2343,B
16661,62,M,TT,2,1,10.52,2B,0.125,0,72978,17482.17437,124463.3566,B
16662,55,M,TNT,0,2,13.55,1C,0.0902,0,151224,317160.4583,204595.1356,B
16663,44,M,ST,0,1,21.96,1C,0.0603,0,84185,733719.2378,49862.91575,B
16664,44,M,ST,4,0,3.66,3,0.0507,0,438161,384059.6189,35290.99919,B
16665,42,M,TNT,0,1,9.59,2B,0.0597,0,391437,1247559.914,88387.56829,M
16666,52,M,TT,2,3,46.68,3,-0.1217,0,291640,311141.5705,135989.187,B
16667,42,M,TNT,1,2,11.95,1A,0.0224,0,179658,447750.0421,60958.10665,B
16668,61,M,PT,4,1,4.97,4,0.1519,0,301252,667046.8854,60119.72508,M
16669,49,M,TT,3,3,162.54,2B,0.0642,0,33446,253939.5375,158215.4707,M
16670,47,M,TT,1,1,39.76,2B,0.1122,0,348488,353219.5913,78007.09996,B
16671,23,M,SNT,1,0,8.9,1C,0.1636,0,397514,426893.4691,19257.36603,M
16672,53,M,SNT,2,2,19.77,1C,0.1824,0,35160,78373.23112,40393.41974,M
16673,47,M,PT,1,0,7.3,1C,-0.0565,0,537747,392188.5362,30252.15058,B
16674,56,M,TT,2,1,12.4,1C,0.0286,0,15153,114319.5497,178147.831,B
16675,41,M,ST,2,2,9.97,1C,0.124,0,302017,296892.0009,50401.83829,B
16676,41,M,TNT,0,2,118.41,2B,0.1838,0,98087,78579.92929,118095.9117,M
16677,43,M,TT,2,1,9.5,1C,-0.1308,0,143884,397955.3203,146313.2265,B
16678,43,M,SNT,0,0,17.1,2B,0.1509,0,86767,742164.5188,60146.13854,M
16679,20,M,ST,0,2,19.66,1A,0.153,0,78576,36965.84396,20418.35423,M
16680,46,M,TT,0,1,18.48,1C,0.1262,0,366495,157919.5279,108653.3616,B
16681,50,F,TT,1,2,32.81,1C,0.0968,0,56946,342308.3203,201500.7623,B
16682,46,M,TNT,2,1,35.63,1C,0.1377,0,17813,69596.92922,67068.62368,B
16683,39,F,PT,0,1,47.25,1C,-0.03,0,222913,169189.7155,22822.07475,B
16684,47,F,PT,2,1,7.8,3,0.0455,0,76712,282502.6875,29463.89716,B
16685,39,F,TT,0,0,26.37,1C,0.046,0,39382,182592.5438,128487.1448,B
16686,44,M,PT,1,0,53.84,1C,-0.0592,0,36913,458518.1765,39258.97323,M
